UA,PLANDF_1KM,PLANDF_2KM,PLANDF_3KM,PLANDF_4KM,PLANDF_5KM,CAF_1KM,CAF_2KM,CAF_3KM,CAF_4KM,CAF_5KM, NPF_1KM, NPF_2KM, NPF_3KM, NPF_4KM, NPF_5KM,PDF_1KM,PDF_2KM,PDF_3KM,PDF_4KM,PDF_5KM,TEF_1KM,TEF_2KM,TEF_3KM,TEF_4KM,TEF_5KM, EDF_1KM, EDF_2KM, EDF_3KM, EDF_4KM, EDF_5KM, PARAF_MN _1KM, PARAF_MN _2KM, PARAF_MN _3KM, PARAF_MN _4KM, PARAF_MN _5KM, PROXF_MN_1KM, PROXF_MN_2KM, PROXF_MN_3KM, PROXF_MN_4KM, PROXF_MN_5KM, ENNF_MN _1KM, ENNF_MN _2KM, ENNF_MN _3KM, ENNF_MN _4KM, ENNF_MN _5KM, CONNECTF_1KM, CONNECTF_2KM, CONNECTF_3KM, CONNECTF_4KM, CONNECTF_5KM,
UA13,13.953,14.635,16.077,13.793,13.255,43.650,181.890,449.550,685.530,1029.510,14.000,46.000,78.000,136.000,209.000,4.475,3.701,2.789,2.736,2.691,16500.000,55230.000,114930.000,181410.000,286440.000,52.743,44.440,41.101,36.501,36.879,565.734,557.056,501.511,550.686,511.997,7.522,10.312,22.721,22.469,21.450,161.996,139.428,165.175,170.681,153.235,100.000,60.966,38.928,23.933,15.587,
UA14,0.725,1.032,1.254,2.437,2.657,2.250,12.780,35.010,121.140,206.010,2.000,7.000,17.000,46.000,67.000,0.644,0.565,0.609,0.925,0.864,1200.000,5520.000,14160.000,42390.000,66900.000,3.866,4.458,5.071,8.527,8.628,524.510,469.315,540.940,565.818,534.846,0.028,0.835,0.871,3.520,3.588,630.714,701.650,589.659,385.330,323.888,100.000,66.667,30.882,19.614,15.468,
UA15,11.775,15.031,16.637,17.860,16.482,36.720,186.480,464.670,888.390,1280.880,4.000,15.000,39.000,66.000,103.000,1.283,1.209,1.396,1.327,1.325,8070.000,32880.000,63870.000,126720.000,204630.000,25.878,26.502,22.868,25.475,26.331,662.329,407.154,432.084,489.441,529.073,0.548,21.816,19.945,39.198,66.196,544.195,177.195,178.354,180.869,173.678,100.000,58.095,39.676,24.289,16.181,
UA16,3.287,7.199,14.315,17.741,16.611,10.260,89.460,400.140,882.540,1290.330,6.000,17.000,23.000,42.000,64.000,1.922,1.368,0.823,0.844,0.824,4980.000,19440.000,47220.000,85920.000,135480.000,15.955,15.644,16.893,17.272,17.441,583.253,507.009,429.695,446.422,441.897,1.219,10.460,9.712,53.538,42.950,231.010,251.714,256.175,205.396,212.406,100.000,73.529,47.826,25.087,16.716,
UA17,0.867,1.119,1.306,1.579,3.084,2.700,13.860,36.450,78.480,239.130,1.000,11.000,24.000,38.000,69.000,0.321,0.888,0.860,0.765,0.890,780.000,6900.000,16380.000,30720.000,71490.000,2.504,5.571,5.867,6.181,9.219,288.889,590.424,603.655,531.862,519.148,0.000,0.667,1.670,2.001,4.513, N/A ,379.227,320.616,370.068,343.852,0.000,56.364,35.145,25.036,15.303,
UA18,5.604,7.342,10.793,9.899,9.049,17.460,90.990,301.410,492.300,702.720,5.000,17.000,45.000,81.000,120.000,1.605,1.372,1.611,1.629,1.545,7590.000,28740.000,75090.000,133410.000,196020.000,24.360,23.191,26.889,26.826,25.240,465.946,523.470,513.969,503.416,531.104,3.709,6.311,17.732,22.137,22.825,240.635,176.303,129.496,153.374,173.033,100.000,65.441,35.758,26.142,18.235,
UA19,5.804,7.468,9.187,11.190,13.161,18.090,92.520,256.680,556.560,1022.310,8.000,26.000,65.000,118.000,154.000,2.567,2.099,2.326,2.372,1.983,6030.000,30750.000,75030.000,153840.000,252240.000,19.347,24.820,26.854,30.929,32.473,793.944,601.042,498.989,475.339,503.894,6.069,4.511,5.679,11.381,20.549,220.549,181.066,163.937,142.802,147.654,100.000,66.154,34.808,22.454,17.588,
UA20,5.887,11.275,8.269,9.506,10.435,18.360,140.220,230.760,472.320,809.820,10.000,33.000,68.000,121.000,202.000,3.207,2.654,2.437,2.435,2.603,7830.000,40410.000,73260.000,142890.000,238590.000,25.108,32.494,26.252,28.759,30.744,647.928,500.612,503.501,504.167,524.485,2.920,6.989,7.355,7.295,9.564,188.411,209.863,215.109,191.151,178.586,100.000,62.121,36.040,23.265,14.930,
UA21,13.746,13.135,17.555,18.558,17.649,42.930,163.440,490.140,921.870,1369.710,13.000,46.000,90.000,143.000,223.000,4.163,3.697,3.223,2.879,2.873,14280.000,53040.000,139680.000,245340.000,372300.000,45.725,42.625,50.027,49.389,47.970,473.359,564.670,553.863,531.557,504.471,4.252,9.257,16.845,31.795,35.759,164.189,155.329,129.206,123.792,129.057,100.000,63.575,37.179,25.825,16.430,
UA22,29.473,35.137,29.694,24.628,21.074,92.070,437.220,829.080,1223.370,1635.750,13.000,34.000,75.000,152.000,210.000,4.162,2.732,2.686,3.060,2.706,22680.000,90720.000,177510.000,286650.000,387210.000,72.602,72.906,63.577,57.706,49.886,618.229,402.240,491.471,569.085,533.214,31.086,101.873,92.211,67.482,57.440,116.657,106.555,117.367,110.177,122.502,100.000,64.884,36.252,22.490,17.111,
UA23,13.828,17.733,17.152,16.180,15.902,43.110,220.230,479.610,803.700,1234.890,17.000,45.000,85.000,144.000,202.000,5.453,3.624,3.040,2.899,2.601,13980.000,54690.000,118050.000,199080.000,307440.000,44.842,44.037,42.218,40.078,39.591,620.501,612.578,501.291,509.922,490.299,4.542,13.363,18.041,22.138,27.645,162.125,110.029,115.072,124.729,125.091,100.000,60.101,36.695,22.980,16.881,
UA24,19.971,30.746,39.020,45.184,52.263,62.280,380.700,1090.260,2246.040,4054.410,14.000,37.000,47.000,92.000,107.000,4.489,2.988,1.682,1.851,1.379,20640.000,93930.000,203850.000,370650.000,577860.000,66.186,75.859,72.956,74.564,74.488,541.100,516.229,510.465,524.300,521.946,30.171,66.868,229.172,496.951,1394.848,115.239,98.056,113.441,91.928,92.659,100.000,68.318,47.456,27.425,21.460,
UA25,46.596,44.532,48.429,42.361,39.506,145.350,551.610,1352.160,2106.000,3064.680,6.000,31.000,48.000,99.000,188.000,1.923,2.503,1.719,1.991,2.423,14520.000,85230.000,194310.000,328650.000,519780.000,46.547,68.808,69.594,66.106,67.003,538.596,602.813,561.373,588.373,584.961,66.934,87.551,241.299,353.286,445.699,157.720,101.876,111.078,107.779,101.981,100.000,62.366,49.025,27.500,17.317,
